chr	strand	gene
chr13	+	NUDT15
chr13	-	MED4
chr13	+	ITM2B
chr13	+	RB1
chr13	-	LPAR6
chr13	-	RCBTB2
chr13	+	CYSLTR2
chr13	+	FNDC3A
chr13	+	MLNR
chr13	+	CDADC1
chr13	-	CAB39L
chr13	+	PHF11+SETDB2+SETDB2-PHF11
chr13	-	RCBTB1
chr13	+	ARL11
chr13	-	EBPL
chr13	-	KPNA3
chr13	-	SPRYD7
chr13	+	TRIM13+KCNRG
chr13	-	DLEU7
chr13	+	RNASEH2B
chr13	-	C13orf42
chr13	+	FAM124A
chr13	+	SERPINE3
chr13	-	INTS6
chr13	+	WDFY2
chr13	-	DHRS12
chr13	-	TMEM272
chr13	+	CCDC70
chr13	-	ATP7B
chr13	+	UTP14C+ALG11
chr13	-	NEK5
chr13	-	NEK3
chr13	-	THSD1
chr13	-	VPS36
chr13	+	CKAP2
chr13	+	HNRNPA1L2
chr13	+	SUGT1
chr13	-	CNMD
chr13	-	PCDH8
chr13	+	OLFM4
chr13	+	PRR20A
chr13	+	PRR20B
chr13	+	PRR20C
chr13	+	PRR20D
chr13	+	PRR20E
chr13	+	PCDH17
chr13	-	DIAPH3
chr13	+	TDRD3
chr13	-	PCDH20
chr13	+	LOC112267897
chr13	-	LOC647264
chr13	-	PCDH9
chr13	-	KLHL1
chr13	-	DACH1
chr13	-	MZT1
chr13	+	BORA
chr13	-	DIS3
chr13	+	PIBF1
chr13	+	KLF5
chr13	-	KLF12
chr13	-	TBC1D4
chr13	-	COMMD6
chr13	+	UCHL3
chr13	+	LMO7
chr13	-	KCTD12
chr13	+	ACOD1
chr13	+	CLN5
chr13	-	FBXL3
chr13	-	MYCBP2
chr13	+	SCEL
chr13	-	LOC100129307
chr13	+	SLAIN1
chr13	-	EDNRB
chr13	-	POU4F1
chr13	-	OBI1
chr13	-	RBM26
chr13	+	NDFIP2
chr13	-	SPRY2
chr13	-	SLITRK1
chr13	-	SLITRK6
chr13	+	SLITRK5
chr13	+	GPC5
chr13	+	GPC6
chr13	-	DCT
chr13	-	TGDS
chr13	+	GPR180
chr13	-	SOX21
chr13	-	ABCC4
chr13	+	CLDN10
chr13	-	DZIP1
chr13	+	DNAJC3
chr13	-	UGGT2
chr13	+	HS6ST3
chr13	-	OXGR1
chr13	+	MBNL2
chr13	+	RAP2A
chr13	+	IPO5
chr13	+	FARP1
chr13	-	RNF113B
chr13	-	STK24
chr13	-	SLC15A1
chr13	-	DOCK9
chr13	+	UBAC2
chr13	-	GPR18
chr13	-	GPR183
chr13	+	TM9SF2
chr13	+	CLYBL
chr13	-	ZIC5
chr13	+	ZIC2
chr13	+	PCCA
chr13	-	GGACT
chr13	-	TMTC4
chr13	-	NALCN
chr13	+	ITGBL1
chr13	-	FGF14
chr13	+	TPP2
chr13	-	METTL21C
chr13	-	CCDC168
chr13	-	TEX30
chr13	-	POGLUT2
chr13	+	ERCC5+BIVM-ERCC5+BIVM
chr13	-	SLC10A2
chr13	+	DAOA
chr13	-	EFNB2
chr13	-	ARGLU1
chr13	-	FAM155A
chr13	-	LIG4
chr13	+	ABHD13
chr13	+	TNFSF13B
chr13	+	MYO16
chr13	-	IRS2
chr13	-	COL4A1
chr13	+	COL4A2
chr13	-	COL4A2-AS2
chr13	-	RAB20
chr13	+	NAXD
chr13	-	CARS2
chr13	+	ING1
chr13	-	ANKRD10
chr13	+	ARHGEF7
chr13	+	TEX29
chr13	+	LOC107983958
chr13	-	LOC105378193
chr13	+	SOX1
chr13	+	SPACA7
chr13	-	TUBGCP3
chr13	+	ATP11A
chr13	+	MCF2L
chr13	-	LOC107984590
chr13	+	F7
chr13	+	F10
chr13	-	LOC102724474
chr13	+	PROZ
chr13	-	PCID2
chr13	+	CUL4A
chr13	+	LAMP1
chr13	-	GRTP1
chr13	-	LOC101928841
chr13	-	ADPRHL1
chr13	-	DCUN1D2
chr13	+	TMCO3
chr13	+	TFDP1
chr13	+	GRK1
chr13	-	ATP4B
chr13	-	LOC105377805
chr13	+	TMEM255B
chr13	-	GAS6
chr13	-	C13orf46
chr13	-	RASA3
chr13	+	CFAP97D2
chr13	+	CDC16
chr13	+	UPF3A
chr13	+	CHAMP1
chr14	+	OR11H12
chr14	+	POTEM
chr14	-	POTEG
chr14	-	OR11H2
chr14	+	OR4Q3
chr14	+	OR4M1
chr14	+	OR4N2
chr14	-	OR4K3
chr14	+	OR4K2
chr14	+	OR4K1
chr14	+	OR4K5
chr14	+	OR4K15
chr14	-	OR4K14
chr14	-	OR4K13
chr14	+	OR4L1
chr14	+	OR4K17
chr14	+	OR4N5
chr14	+	OR11G2
chr14	+	OR11H6
chr14	+	OR11H4
chr14	-	TTC5
chr14	-	CCNB1IP1
chr14	+	PARP2
chr14	-	TEP1
chr14	-	KLHL33
chr14	-	OSGEP
chr14	+	APEX1
chr14	-	PIP4P1
chr14	+	PNP
chr14	+	RNASE10
chr14	-	RNASE9
chr14	-	RNASE11+RNASE12
chr14	-	OR6S1
chr14	+	RNASE4+ANG
chr14	+	EDDM3A
chr14	+	EDDM3B
chr14	+	RNASE6
chr14	-	RNASE1
chr14	+	RNASE3
chr14	+	RNASE2
chr14	+	METTL17
chr14	+	SLC39A2
chr14	-	NDRG2
chr14	+	TPPP2
chr14	-	RNASE13
chr14	+	RNASE7
chr14	+	RNASE8
chr14	+	ARHGEF40
chr14	-	ZNF219
chr14	+	TMEM253
chr14	-	OR5AU1
chr14	-	HNRNPC
chr14	+	RPGRIP1
chr14	-	SUPT16H
chr14	-	CHD8
chr14	-	RAB2B
chr14	+	TOX4
chr14	-	METTL3
chr14	-	SALL2
chr14	-	OR10G3
chr14	-	OR10G2
chr14	+	OR4E2
chr14	-	OR4E1
chr14	-	DAD1
chr14	+	ABHD4
chr14	-	OR6J1
chr14	+	OXA1L
chr14	-	SLC7A7
chr14	+	MRPL52
chr14	+	MMP14
chr14	+	LRP10
chr14	+	REM2
chr14	-	RBM23
chr14	-	PRMT5
chr14	-	HAUS4
chr14	-	AJUBA
chr14	-	C14orf93
chr14	-	PSMB5
chr14	+	PSMB11
chr14	-	CDH24
chr14	-	ACIN1
chr14	+	C14orf119
chr14	-	LMLN2
chr14	-	CEBPE
chr14	-	SLC7A8
chr14	+	RNF212B
chr14	-	HOMEZ
chr14	-	PPP1R3E
chr14	+	BCL2L2-PABPN1+BCL2L2+PABPN1
chr14	-	SLC22A17
chr14	-	EFS
chr14	+	IL25
chr14	+	CMTM5
chr14	-	MYH6
chr14	-	MYH7
chr14	+	NGDN
chr14	-	ZFHX2
chr14	+	THTPA
chr14	-	AP1G2
chr14	-	JPH4
chr14	+	DHRS2
chr14	+	DHRS4
chr14	+	DHRS4L2
chr14	+	DHRS4L1
chr14	+	CARMIL3
chr14	+	CPNE6
chr14	-	NRL
chr14	+	PCK2
chr14	+	DCAF11
chr14	+	FITM1
chr14	+	PSME1
chr14	-	EMC9
chr14	-	PSME2
chr14	+	RNF31
chr14	+	IRF9
chr14	+	REC8
chr14	-	IPO4
chr14	-	TM9SF1
chr14	+	TSSK4
chr14	-	CHMP4A
chr14	-	NEDD8-MDP1+NEDD8+MDP1
chr14	+	GMPR2
chr14	-	TINF2
chr14	-	TGM1
chr14	-	RABGGTA
chr14	-	DHRS1
chr14	+	NOP9
chr14	-	CIDEB
chr14	+	LTB4R+LTB4R2
chr14	-	ADCY4
chr14	-	RIPK3
chr14	+	NFATC4
chr14	+	NYNRIN
chr14	+	KHNYN
chr14	-	CBLN3
chr14	-	SDR39U1
chr14	-	CMA1
chr14	-	CTSG
chr14	-	GZMH
chr14	-	GZMB
chr14	-	STXBP6
chr14	-	NOVA1
chr14	+	FOXG1
chr14	-	PRKD1
chr14	+	G2E3
chr14	+	SCFD1
chr14	+	COCH
chr14	-	STRN3
chr14	+	AP4S1
chr14	-	HECTD1
chr14	-	HEATR5A
chr14	-	DTD2
chr14	-	GPR33
chr14	+	NUBPL
chr14	+	ARHGAP5
chr14	+	AKAP6
chr14	+	NPAS3
chr14	-	EGLN3
chr14	-	SPTSSA
chr14	-	EAPP
chr14	-	SNX6
chr14	-	CFL2
chr14	-	BAZ1A
chr14	+	SRP54
chr14	+	FAM177A1
chr14	-	PPP2R3C
chr14	+	PRORP
chr14	+	PSMA6
chr14	-	NFKBIA
chr14	+	INSM2
chr14	-	RALGAPA1
chr14	+	BRMS1L
chr14	-	MBIP
chr14	-	NKX2-1
chr14	-	NKX2-8
chr14	+	PAX9
chr14	-	SLC25A21
chr14	+	MIPOL1
chr14	-	FOXA1
chr14	+	TTC6
chr14	+	SSTR1
chr14	-	CLEC14A
chr14	-	SEC23A
chr14	+	GEMIN2
chr14	-	TRAPPC6B
chr14	+	PNN
chr14	+	MIA2
chr14	-	FBXO33
chr14	+	LRFN5
chr14	-	FSCB
chr14	+	C14orf28
chr14	-	KLHL28
chr14	+	TOGARAM1
chr14	+	PRPF39
chr14	-	FKBP3
chr14	+	FANCM
chr14	-	MIS18BP1
chr14	-	RPL10L
chr14	-	MDGA2
chr14	-	RPS29
chr14	+	LRR1
chr14	-	RPL36AL
chr14	+	MGAT2
chr14	-	DNAAF2
chr14	-	POLE2
chr14	+	KLHDC1
chr14	+	KLHDC2
chr14	-	NEMF
chr14	+	ARF6
chr14	-	VCPKMT
chr14	-	SOS2
chr14	-	L2HGDH
chr14	+	DMAC2L
chr14	-	CDKL1
chr14	-	MAP4K5
chr14	+	ATL1
chr14	-	SAV1
chr14	-	NIN
chr14	+	ABHD12B
chr14	-	PYGL
chr14	-	TRIM9
chr14	+	TMX1
chr14	+	FRMD6
chr14	+	GNG2
chr14	+	RTRAF
chr14	-	NID2
chr14	+	PTGDR
chr14	+	PTGER2
chr14	-	TXNDC16
chr14	+	GPR137C
chr14	-	ERO1A
chr14	+	PSMC6
chr14	+	STYX
chr14	-	GNPNAT1
chr14	-	FERMT2
chr14	-	DDHD1
chr14	-	BMP4
chr14	+	CDKN3
chr14	-	CNIH1
chr14	-	GMFB
chr14	+	CGRRF1
chr14	+	SAMD4A
chr14	-	GCH1
chr14	-	WDHD1
chr14	+	SOCS4
chr14	+	MAPK1IP1L
chr14	+	LGALS3
chr14	-	DLGAP5
chr14	+	FBXO34
chr14	-	ATG14
chr14	-	TBPL2
chr14	+	KTN1
chr14	+	PELI2
chr14	+	TMEM260
chr14	-	OTX2
chr14	-	EXOC5
chr14	+	AP5M1
chr14	+	NAA30
chr14	-	CCDC198
chr14	-	SLC35F4
chr14	-	ARMH4
chr14	+	ACTR10
chr14	+	PSMA3
chr14	+	ARID4A
chr14	+	TOMM20L
chr14	-	TIMM9
chr14	+	KIAA0586
chr14	+	DACT1
chr14	+	DAAM1
chr14	-	GPR135
chr14	-	CCDC175+L3HYPDH
chr14	+	JKAMP
chr14	-	RTN1
chr14	+	LRRC9
chr14	+	PCNX4
chr14	-	DHRS7
chr14	+	PPM1A
chr14	-	C14orf39
chr14	+	SIX6
chr14	-	SIX1
chr14	-	SIX4
chr14	+	MNAT1
chr14	-	TRMT5
chr14	+	SLC38A6
chr14	+	PRKCH
chr14	-	TMEM30B
chr14	+	HIF1A
chr14	+	SNAPC1
chr14	+	SYT16
chr14	-	KCNH5
chr14	+	RHOJ
chr14	-	GPHB5
chr14	-	PPP2R5E
chr14	-	WDR89
chr14	-	SGPP1
chr14	+	SYNE2
chr14	-	ESR2
chr14	+	MTHFD1
chr14	-	ZBTB25
chr14	+	AKAP5
chr14	+	ZBTB1
chr14	+	HSPA2
chr14	+	PPP1R36
chr14	+	PLEKHG3
chr14	-	SPTB
chr14	+	CHURC1+FNTB+CHURC1-FNTB
chr14	-	GPX2
chr14	-	RAB15
chr14	-	MAX
chr14	+	FUT8
chr14	+	CCDC196
chr14	+	GPHN
chr14	+	FAM71D
chr14	+	MPP5
chr14	-	ATP6V1D
chr14	+	EIF2S1
chr14	-	PLEK2
chr14	-	TMEM229B
chr14	+	PLEKHH1
chr14	-	PIGH
chr14	+	ARG2
chr14	-	VTI1B
chr14	-	RDH11
chr14	+	RDH12
chr14	-	ZFYVE26
chr14	+	RAD51B
chr14	-	ZFP36L1
chr14	-	ACTN1
chr14	-	DCAF5
chr14	+	EXD2
chr14	+	GALNT16
chr14	-	ERH
chr14	+	SLC39A9
chr14	+	PLEKHD1
chr14	-	CCDC177
chr14	+	SUSD6
chr14	+	SRSF5
chr14	-	SLC10A1
chr14	+	SMOC1
chr14	-	SLC8A3
chr14	-	SYNJ2BP+COX16+SYNJ2BP-COX16
chr14	+	ADAM21
chr14	-	ADAM20
chr14	-	MED6
chr14	+	TTC9
chr14	-	MAP3K9
chr14	+	PCNX1
chr14	-	LOC105370706
chr14	+	SIPA1L1
chr14	+	RGS6
chr14	-	DPF3
chr14	+	DCAF4
chr14	-	ZFYVE1
chr14	+	RBM25
chr14	+	PSEN1
chr14	+	PAPLN
chr14	-	NUMB
chr14	-	HEATR4
chr14	+	RIOX1+ACOT1
chr14	+	ACOT2
chr14	+	ACOT4
chr14	+	ACOT6
chr14	+	DNAL1
chr14	-	PNMA1
chr14	-	MIDEAS
chr14	+	PTGR2
chr14	+	ZNF410
chr14	-	FAM161B
chr14	+	COQ6
chr14	-	ENTPD5
chr14	+	BBOF1
chr14	-	ALDH6A1
chr14	+	LIN52
chr14	+	VSX2
chr14	-	ABCD4
chr14	+	VRTN
chr14	-	SYNDIG1L
chr14	-	NPC2
chr14	+	ISCA2
chr14	-	LTBP2
chr14	-	AREL1
chr14	+	FCF1
chr14	+	YLPM1
chr14	-	PROX2
chr14	+	DLST
chr14	-	RPS6KL1
chr14	-	PGF
chr14	+	EIF2B2
chr14	-	MLH3
chr14	-	ACYP1
chr14	+	ZC2HC1C
chr14	-	NEK9
chr14	-	TMED10
chr14	+	FOS
chr14	+	JDP2
chr14	+	BATF
chr14	+	FLVCR2
chr14	-	ERG28
chr14	+	TTLL5
chr14	-	TGFB3
chr14	+	IFT43
chr14	+	GPATCH2L
chr14	+	ESRRB
chr14	+	VASH1
chr14	-	ANGEL1
chr14	+	LRRC74A
chr14	-	IRF2BPL
chr14	+	CIPC
chr14	-	ZDHHC22
chr14	+	TMEM63C
chr14	-	NGB
chr14	-	POMT2
chr14	+	GSTZ1
chr14	-	TMED8
chr14	+	SAMD15
chr14	-	NOXRED1
chr14	-	VIPAS39
chr14	+	AHSA1
chr14	-	ISM2
chr14	-	SPTLC2
chr14	-	ALKBH1
chr14	+	SLIRP
chr14	-	SNW1
chr14	+	ADCK1
chr14	+	NRXN3
chr14	-	DIO2
chr14	-	CEP128
chr14	+	TSHR
chr14	-	GTF2A1
chr14	-	STON2
chr14	-	SEL1L
chr14	+	FLRT2
chr14	-	GALC
chr14	+	GPR65
chr14	-	KCNK10
chr14	+	SPATA7
chr14	-	PTPN21
chr14	+	ZC3H14
chr14	-	EML5
chr14	+	TTC8
chr14	-	FOXN3
chr14	-	EFCAB11
chr14	+	TDP1
chr14	+	KCNK13
chr14	+	PSMC1
chr14	-	NRDE2
chr14	+	CALM1
chr14	-	TTC7B
chr14	-	RPS6KA5
chr14	+	DGLUCY
chr14	-	GPR68
chr14	-	CCDC88C
chr14	-	PPP4R3A
chr14	-	CATSPERB
chr14	-	TC2N
chr14	-	FBLN5
chr14	-	TRIP11
chr14	-	ATXN3
chr14	-	NDUFB1
chr14	+	CPSF2
chr14	+	SLC24A4
chr14	+	RIN3
chr14	-	LGMN
chr14	+	GOLGA5
chr14	+	CHGA
chr14	-	ITPK1
chr14	-	MOAP1
chr14	+	TMEM251
chr14	-	GON7
chr14	+	UBR7
chr14	-	BTBD7
chr14	+	UNC79
chr14	+	COX8C
chr14	-	PRIMA1
chr14	+	FAM181A
chr14	-	ASB2
chr14	+	CCDC197
chr14	+	OTUB2
chr14	-	DDX24
chr14	+	IFI27L1
chr14	+	IFI27
chr14	-	IFI27L2
chr14	+	PPP4R4
chr14	-	SERPINA10
chr14	-	SERPINA6
chr14	-	SERPINA1
chr14	-	SERPINA11
chr14	-	SERPINA9
chr14	-	SERPINA12
chr14	+	SERPINA4
chr14	+	SERPINA5
chr14	+	SERPINA3
chr14	-	GSC
chr14	-	DICER1
chr14	-	CLMN
chr14	-	SYNE3
chr14	+	GLRX5
chr14	+	TCL1B
chr14	-	TCL1A
chr14	+	C14orf132
chr14	+	BDKRB2
chr14	+	BDKRB1
chr14	-	ATG2B
chr14	+	GSKIP
chr14	+	AK7
chr14	+	PAPOLA
chr14	+	VRK1
chr14	-	BCL11B
chr14	-	SETD3
chr14	+	CCNK
chr14	-	CCDC85C
chr14	+	HHIPL1
chr14	+	CYP46A1
chr14	+	EML1
chr14	+	EVL
chr14	-	DEGS2
chr14	+	YY1
chr14	-	SLC25A29
chr14	+	SLC25A47
chr14	-	WARS1
chr14	+	WDR25
chr14	-	BEGAIN
chr14	+	DLK1
chr14	-	RTL1
chr14	+	DIO3
chr14	+	PPP2R5C
chr14	+	DYNC1H1
chr14	-	HSP90AA1
chr14	+	WDR20
chr14	-	MOK
chr14	+	ZNF839
chr14	-	CINP
chr14	+	TECPR2
chr14	-	ANKRD9
chr14	+	RCOR1
chr14	+	TRAF3
chr14	+	AMN
chr14	-	CDC42BPB
chr14	+	LBHD2
chr14	+	EXOC3L4
chr14	+	TNFAIP2
chr14	+	EIF5
chr14	+	MARK3
chr14	-	CKB
chr14	+	TRMT61A
chr14	-	BAG5
chr14	+	COA8
chr14	+	KLC1
chr14	-	XRCC3
chr14	+	LOC112268131
chr14	+	ZFYVE21
chr14	-	PPP1R13B
chr14	-	ATP5MPL
chr14	+	TDRD9
chr14	-	RD3L
chr14	+	ASPG
chr14	+	KIF26A
chr14	+	C14orf180
chr14	-	TMEM179
chr14	+	INF2
chr14	+	ADSS1
chr14	+	SIVA1
chr14	-	AKT1
chr14	+	ZBTB42
chr14	+	CEP170B
chr14	+	PLD4
chr14	-	AHNAK2
chr14	+	CLBA1
chr14	-	CDCA4
chr14	-	GPR132
chr14	-	JAG2
chr14	-	NUDT14
chr14	-	BRF1
chr14	+	BTBD6
chr14	+	PACS2
chr14	+	TEX22
chr14	+	MTA1
chr14	+	CRIP2
chr14	+	CRIP1
chr14	+	TEDC1
chr14	+	TMEM121
chr15	-	GOLGA6L6
chr15	-	POTEB2
chr15	-	POTEB3
chr15	+	OR4N4C
chr15	-	LOC102724971
chr15	-	POTEB
chr15	+	OR4M2
chr15	+	OR4N4
chr15	-	LOC107983983
chr15	+	GOLGA6L22
chr15	+	NIPA1
chr15	+	NIPA2
chr15	-	CYFIP1
chr15	-	TUBGCP5
chr15	-	GOLGA6L1
chr15	-	LOC102723623
chr15	+	GOLGA8S
chr15	-	GOLGA6L2
chr15	+	MKRN3
chr15	-	MAGEL2
chr15	-	NDN
chr15	+	NPAP1
chr15	+	SNURF+SNRPN
chr15	-	UBE3A
chr15	-	ATP10A
chr15	-	GABRB3
chr15	+	GABRA5
chr15	+	GABRG3
chr15	-	OCA2
chr15	-	HERC2
chr15	-	LOC645202
chr15	+	GOLGA8F
chr15	-	GOLGA8G
chr15	+	LOC100132202
chr15	-	GOLGA8M
chr15	-	GOLGA6L7
chr15	+	APBA2
chr15	-	FAM189A1
chr15	-	NSMCE3
chr15	-	TJP1
chr15	+	GOLGA8J
chr15	+	GOLGA8T
chr15	-	CHRFAM7A
chr15	-	GOLGA8R
chr15	-	LOC100996413
chr15	+	GOLGA8Q
chr15	+	GOLGA8H
chr15	+	ARHGAP11B
chr15	+	LOC107984025
chr15	+	LOC101930434
chr15	+	FAN1
chr15	-	MTMR10
chr15	-	TRPM1
chr15	-	LOC283710
chr15	+	KLF13
chr15	-	OTUD7A
chr15	+	CHRNA7
chr15	-	GOLGA8K
chr15	-	GOLGA8O
chr15	+	LOC101060588
chr15	-	LOC100653133
chr15	+	GOLGA8N
chr15	+	ARHGAP11A-SCG5+SCG5+ARHGAP11A
chr15	+	GREM1
chr15	-	FMN1
chr15	+	RYR3
chr15	-	AVEN
chr15	+	CHRM5
chr15	-	EMC7
chr15	+	PGBD4
chr15	-	KATNBL1
chr15	+	EMC4
chr15	-	SLC12A6
chr15	-	NOP10
chr15	+	NUTM1
chr15	-	LPCAT4
chr15	-	GOLGA8A
chr15	-	GOLGA8B
chr15	-	GJD2
chr15	-	ACTC1
chr15	-	AQR
chr15	-	ZNF770
chr15	-	NANOGP8
chr15	-	DPH6
chr15	+	CDIN1
chr15	-	MEIS2
chr15	+	TMCO5A
chr15	+	SPRED1
chr15	+	FAM98B
chr15	-	RASGRP1
chr15	+	THBS1
chr15	-	FSIP1
chr15	-	GPR176
chr15	+	EIF2AK4
chr15	-	SRP14
chr15	-	BMF
chr15	+	BUB1B-PAK6+BUB1B+PAK6
chr15	-	ANKRD63
chr15	-	PLCB2
chr15	+	INAFM2
chr15	-	CCDC9B
chr15	+	PHGR1
chr15	+	DISP2
chr15	+	KNSTRN
chr15	+	IVD
chr15	+	BAHD1
chr15	+	CHST14
chr15	-	CCDC32
chr15	+	RPUSD2
chr15	+	KNL1
chr15	+	RAD51
chr15	-	RMDN3
chr15	+	GCHFR
chr15	-	DNAJC17
chr15	+	C15orf62
chr15	+	ZFYVE19
chr15	-	PPP1R14D
chr15	+	SPINT1
chr15	-	RHOV
chr15	+	VPS18
chr15	+	DLL4
chr15	+	CHAC1
chr15	-	INO80
chr15	-	EXD1
chr15	+	CHP1
chr15	-	OIP5
chr15	+	NUSAP1
chr15	-	NDUFAF1
chr15	+	RTF1
chr15	+	ITPKA
chr15	-	LTK
chr15	-	RPAP1
chr15	+	TYRO3
chr15	+	MGA
chr15	+	MAPKBP1
chr15	+	JMJD7+JMJD7-PLA2G4B+PLA2G4B
chr15	-	SPTBN5
chr15	-	EHD4
chr15	-	PLA2G4E
chr15	-	PLA2G4D
chr15	-	PLA2G4F
chr15	-	VPS39
chr15	-	TMEM87A
chr15	+	GANC
chr15	+	CAPN3
chr15	-	ZNF106
chr15	+	SNAP23
chr15	-	LRRC57
chr15	+	HAUS2
chr15	+	STARD9
chr15	-	CDAN1
chr15	-	TTBK2
chr15	-	UBR1
chr15	+	TMEM62
chr15	+	CCNDBP1
chr15	-	EPB42
chr15	-	TGM5
chr15	-	TGM7
chr15	-	LCMT2
chr15	+	ADAL
chr15	-	ZSCAN29
chr15	+	TUBGCP4
chr15	-	TP53BP1
chr15	+	MAP1A
chr15	-	PPIP5K1
chr15	+	CKMT1B
chr15	-	STRC
chr15	-	CATSPER2
chr15	+	CKMT1A
chr15	+	PDIA3
chr15	-	ELL3
chr15	+	SERF2
chr15	-	SERINC4
chr15	+	HYPK
chr15	-	MFAP1
chr15	+	WDR76
chr15	-	FRMD5
chr15	+	GOLM2
chr15	+	CTDSPL2
chr15	+	EIF3J
chr15	-	SPG11
chr15	-	PATL2
chr15	+	B2M
chr15	+	TRIM69
chr15	+	TERB2
chr15	+	SORD
chr15	-	DUOX2
chr15	+	DUOXA2
chr15	-	DUOXA1
chr15	+	DUOX1
chr15	-	SHF
chr15	+	SLC28A2
chr15	-	GATM
chr15	+	SPATA5L1
chr15	+	C15orf48
chr15	+	LOC105376714
chr15	-	SLC30A4
chr15	+	BLOC1S6
chr15	+	SQOR
chr15	+	SEMA6D
chr15	+	SLC24A5
chr15	-	MYEF2
chr15	+	CTXN2
chr15	+	SLC12A1
chr15	+	DUT
chr15	-	FBN1
chr15	-	CEP152
chr15	-	SHC4
chr15	+	EID1
chr15	-	SECISBP2L
chr15	-	COPS2
chr15	+	GALK2
chr15	-	FAM227B
chr15	+	FGF7
chr15	+	DTWD1
chr15	-	ATP8B4
chr15	+	SLC27A2
chr15	-	HDC
chr15	-	GABPB1
chr15	+	USP8
chr15	-	USP50
chr15	-	TRPM7
chr15	-	SPPL2A
chr15	+	AP4E1
chr15	-	TNFAIP8L3
chr15	-	CYP19A1
chr15	+	GLDN
chr15	-	DMXL2
chr15	+	SCG3
chr15	-	LYSMD2
chr15	+	TMOD2
chr15	+	TMOD3
chr15	-	LEO1
chr15	+	MAPK6
chr15	-	BCL2L10
chr15	-	GNB5
chr15	-	MYO5C
chr15	-	MYO5A
chr15	-	ARPP19
chr15	-	FAM214A
chr15	-	ONECUT1
chr15	-	WDR72
chr15	+	UNC13C
chr15	-	RSL24D1
chr15	-	RAB27A
chr15	-	PIGBOS1
chr15	+	PIGB
chr15	-	CCPG1
chr15	+	C15orf65
chr15	-	DNAAF4
chr15	-	PYGO1
chr15	-	PRTG
chr15	-	NEDD4
chr15	-	RFX7
chr15	+	TEX9
chr15	-	MNS1
chr15	-	ZNF280D
chr15	+	TCF12
chr15	+	CGNL1
chr15	+	GCOM1+MYZAP+POLR2M
chr15	-	ALDH1A2
chr15	+	AQP9
chr15	+	LIPC
chr15	-	ADAM10
chr15	+	MINDY2
chr15	-	SLTM
chr15	+	RNF111
chr15	+	CCNB2
chr15	-	MYO1E
chr15	+	LDHAL6B
chr15	+	FAM81A
chr15	+	GCNT3
chr15	-	GTF2A2
chr15	-	BNIP2
chr15	+	FOXB1
chr15	-	ANXA2
chr15	-	ICE2
chr15	-	RORA
chr15	-	VPS13C
chr15	+	C2CD4A
chr15	-	C2CD4B
chr15	+	TLN2
chr15	+	TPM1
chr15	+	LACTB
chr15	-	RPS27L
chr15	+	RAB8B
chr15	+	APH1B
chr15	-	CA12
chr15	+	USP3
chr15	+	FBXL22
chr15	-	HERC1
chr15	-	DAPK2
chr15	-	CIAO2A
chr15	+	SNX1
chr15	+	SNX22
chr15	-	PPIB
chr15	-	CSNK1G1
chr15	-	PCLAF
chr15	+	TRIP4
chr15	+	ZNF609
chr15	-	OAZ2
chr15	-	RBPMS2
chr15	-	PIF1
chr15	+	PLEKHO2
chr15	+	ANKDD1A
chr15	-	SPG21
chr15	-	MTFMT
chr15	+	SLC51B
chr15	-	RASL12
chr15	+	KBTBD13
chr15	-	UBAP1L
chr15	-	PDCD7
chr15	-	CLPX
chr15	-	CILP
chr15	-	PARP16
chr15	-	IGDCC3
chr15	-	IGDCC4
chr15	-	DPP8
chr15	+	HACD3
chr15	-	INTS14
chr15	+	SLC24A1
chr15	-	DENND4A
chr15	+	RAB11A
chr15	-	MEGF11
chr15	+	DIS3L
chr15	-	TIPIN
chr15	+	MAP2K1
chr15	-	SNAPC5
chr15	-	RPL4
chr15	+	ZWILCH
chr15	-	LCTL
chr15	+	SMAD6
chr15	+	SMAD3
chr15	-	AAGAB
chr15	+	IQCH
chr15	+	C15orf61
chr15	+	MAP2K5
chr15	+	SKOR1
chr15	+	PIAS1
chr15	-	CALML4
chr15	-	CLN6
chr15	+	FEM1B
chr15	-	ITGA11
chr15	+	CORO2B
chr15	-	ANP32A
chr15	+	NOX5+SPESP1
chr15	+	GLCE
chr15	+	PAQR5
chr15	+	KIF23
chr15	+	RPLP1
chr15	-	TLE3
chr15	-	UACA
chr15	-	LARP6
chr15	+	LRRC49
chr15	-	THAP10
chr15	+	THSD4
chr15	+	NR2E3
chr15	-	MYO9A
chr15	+	SENP8
chr15	-	GRAMD2A
chr15	-	PKM
chr15	-	PARP6
chr15	-	CELF6
chr15	-	HEXA
chr15	+	TMEM202
chr15	+	ARIH1
chr15	+	LOC112268145
chr15	+	GOLGA6B
chr15	-	HIGD2B
chr15	+	BBS4
chr15	-	ADPGK
chr15	+	NEO1
chr15	-	HCN4
chr15	+	REC114
chr15	-	NPTN
chr15	+	CD276
chr15	-	INSYN1
chr15	+	TBC1D21
chr15	+	LOXL1
chr15	-	STOML1
chr15	+	PML
chr15	-	GOLGA6A
chr15	+	ISLR2
chr15	+	ISLR
chr15	-	STRA6
chr15	+	CCDC33
chr15	-	CYP11A1
chr15	-	SEMA7A
chr15	-	UBL7
chr15	+	ARID3B
chr15	-	LOC102723750
chr15	+	CLK3
chr15	-	EDC3
chr15	-	CYP1A1
chr15	+	CYP1A2
